Number One,Number Two,Their GCD,Time Spent(nanoseconds)
3340,4616,4,61400
8073,429,39,8300
6852,9802,2,115800
3757,4,1,500
6670,5621,1,91700
8225,5886,1,114800
8596,524,4,9100
550,3608,22,9700
4463,4969,1,72400
2493,6899,1,40700
5169,3427,1,55800
1468,6437,1,24100
6235,6386,1,101300
313,9855,1,5700
9270,6688,2,164300
103,9849,1,4900
4871,4510,1,149400
4034,8659,1,65800
8750,999,1,17100
8011,1265,1,21000
329,3095,1,5800
3487,6210,1,57500
6847,7833,1,111300
9902,3388,2,55700
202,1627,1,3700
3892,5110,14,63600
1931,8039,1,42300
9652,6092,4,98800
9758,7628,2,123400
5466,4533,3,98800
2808,9720,216,48300
4827,8870,1,79400
6532,1540,4,25400
7891,3316,1,54100
9755,4741,1,88300
915,8085,15,16100
372,7509,3,6500
3474,7709,1,57700
11,8838,1,800
8985,4302,3,70700
4961,4948,1,82300
4907,6063,1,80300
3309,6190,1,54300
7649,4854,1,78900
7195,399,1,6900
430,3163,1,7500
6790,7712,2,163600
9496,9170,2,148400
1404,7602,6,23400
1061,8970,1,18300
9936,4820,4,79000
2629,5542,1,42900
6893,4042,1,65500
6229,2618,1,42500
1792,161,7,3400
5945,7463,1,106000
2890,5764,2,47200
8358,6883,1,112300
5617,3814,1,62800
2279,5530,1,38000
6544,2941,1,48100
9500,8963,1,168500
8762,5948,2,150900
2485,6017,1,41500
4581,8997,3,75000
9951,9219,3,150700
8657,3236,1,52900
408,1140,12,7700
6647,7929,1,108000
6324,2797,1,57100
2793,3019,1,45500
2471,9554,1,40400
5109,7523,1,82700
4031,77,1,1800
2893,8163,1,47100
660,9820,20,11300
3908,9810,2,64000
6995,9545,5,113500
5319,2275,1,74500
7030,8996,2,137900
9854,4228,2,69600
8522,9199,1,217600
2266,806,2,26100
5267,8790,1,194100
3587,8931,1,59600
680,2951,1,11700
3210,2274,6,38000
5435,2605,5,43000
3829,6459,1,95900
3230,4426,2,86300
527,3156,1,9300
2489,9937,19,43200
4201,525,1,9000
2769,7148,1,45500
9123,7505,1,153100
2809,8940,1,67100
6080,300,20,6100
8759,1318,1,53600
3280,6742,2,95200
255,3967,1,4700
2690,9743,1,44500
173,3308,1,3500
4640,1212,4,20700
3391,4925,1,57400
4619,8810,1,75600
3283,8766,1,54100
1314,8747,1,33900
3165,8600,5,52300
7405,5834,1,95100
3131,7194,1,105200
6621,1839,3,59800
8190,3010,70,50100
8406,6215,1,100500
9081,9873,9,157400
4698,5173,1,76400
4994,5472,2,82300
7445,3993,1,65500
451,6581,1,7800
9186,6453,3,106500
9831,9750,3,158100
6507,8455,1,155200
8746,2077,1,86400
5752,6330,2,215100
953,6574,1,36900
1840,1760,80,63900
1314,3178,2,27600
8453,6609,1,275900
5919,6757,1,210400
2665,5286,1,85300
9476,379,1,15700
5371,7599,1,232700
8343,4661,1,151700
7851,1560,3,54900
8904,1065,3,18400
9599,343,1,6100
6993,1415,1,27300
9758,8797,1,314100
1784,3978,2,71400
8060,9769,1,235700
7763,5033,7,128700
6232,9751,1,191200
858,5917,1,34800
6708,2418,78,95000
1748,4039,1,86500
1470,1876,14,86600
1472,5869,1,117800
5820,2636,4,103200
4304,5684,4,94900
5808,8153,1,239800
1556,3050,2,57300
3262,1341,1,35800
7626,2590,2,125100
4060,5350,10,89400
3317,1442,1,23900
1688,2101,1,28800
7990,7352,2,171700
3488,3333,1,87600
5287,3524,1,133200
2533,6893,1,98800
2548,1403,1,55500
2800,9166,2,108200
5461,3872,1,105200
8372,260,52,5300
963,1593,9,23300
79,7889,1,5200
2146,2428,2,133300
4270,1061,1,33400
2928,2467,1,78100
846,6779,1,19700
7367,1743,1,22300
3458,945,7,21000
4649,2422,1,31100
9299,7041,1,133400
6341,6068,1,175800
2287,5621,1,59100
7547,2177,1,60300
7620,4210,10,123900
421,9284,1,6100
704,8260,4,9600
9498,5707,1,71900
9105,2351,1,30000
9485,8749,1,110400
3183,7550,1,43300
2976,7389,3,50500
7235,5486,1,69800
9026,7132,2,107700
4322,5572,2,55300
2207,7832,1,28600
2649,8236,1,36600
8591,8298,1,104900
8467,4424,1,55900
997,3823,1,40800
3022,3503,1,47100
6165,9070,5,77400
3637,9517,1,45700
8739,4933,1,62000
7940,4231,1,53400
2035,9482,11,25900
9712,3167,1,40100
2569,5855,1,34700
7498,4010,2,50600
7613,7391,1,99400
7360,2098,2,27600
2631,7150,1,34100
7832,2949,1,38100
4568,3900,4,49700
7008,4911,3,62500
5769,8345,1,74000
5199,9465,3,65900
9886,3879,1,57400
7564,5421,1,69100
4096,1067,1,13800
3016,7631,13,38600
3425,650,25,8600
5873,7922,1,73600
6171,4422,33,55700
9947,6766,1,84900
2813,9927,1,39800
83,1747,1,1400
741,7007,13,9900
9778,5590,2,182600
8264,4113,1,124800
7513,1612,1,49300
6049,6447,1,191600
4356,3494,2,105200
5892,7432,4,174700
3798,8760,6,139700
1727,2742,1,51700
6515,2364,1,74700
842,8634,2,26200
4979,8397,1,149900
6812,3337,1,100300
6297,4600,1,163400
5841,7432,1,174100
6178,6627,1,199200
5806,9216,2,176100
7497,2150,1,68500
4774,6172,2,143200
2245,330,5,10600
4807,4289,1,138300
8320,2607,1,44000
5783,8466,1,72700
8980,6369,1,80200
7863,195,3,2800
419,3180,1,5900
7338,2185,1,27600
4600,7222,46,57800
7834,1631,1,29500
2733,1566,3,20500
3048,3478,2,39200
7606,7624,2,95800
1678,1098,2,14100
6907,7222,1,96100
3052,2991,1,38100
3926,2077,1,26200
3225,4096,1,40400
8286,4998,6,69300
7620,862,2,11300
4601,7085,1,57600
3802,6175,1,47700
6971,2376,1,29900
2274,5263,1,35200
3138,9918,6,39900
8750,5030,10,63300
6927,7541,1,87000
9082,2398,2,30700
9089,594,1,8100
4120,2968,8,44400
