Number One,Number Two,Their GCD,Time Spent(nanoseconds)
8831,8805,1,14200
4326,7408,2,1300
1113,4829,1,1000
5963,5547,1,800
6675,8493,3,700
3517,4607,1,1000
1836,8951,1,800
7533,5170,1,1200
7493,2067,1,1100
4572,9261,9,900
7430,2612,2,1000
1646,5506,2,1000
558,3927,3,1300
6150,939,3,1900
522,5325,3,800
6828,5463,3,1000
8784,5013,9,1000
9606,2518,2,1000
6562,4301,17,900
190,2686,2,800
4615,9056,1,1000
9578,2841,1,1200
3082,9382,2,1700
5120,8779,1,1000
7876,4569,1,1300
829,1818,1,1000
7029,587,1,1000
8409,3261,3,1300
5587,4659,1,1200
9015,3377,1,800
344,4991,1,900
8019,8303,1,1200
4452,3038,14,1200
9164,9614,2,1000
9058,8296,2,1300
2849,5588,11,900
2771,1201,1,800
7569,6521,1,1000
7983,6617,1,1200
7540,7967,1,1000
4622,7993,1,1300
8433,4417,1,1000
3156,1214,2,900
8885,2811,1,1100
5324,3990,2,1400
5166,2278,2,1000
2481,2829,3,1600
276,9466,2,21700
5446,4544,2,1000
8398,7267,13,1000
603,4177,1,1100
384,5734,2,900
871,6032,13,1000
8461,9954,1,1300
3048,5016,24,1300
2400,3455,5,1300
4762,7811,1,1300
9075,2133,3,700
7821,9964,1,900
7790,5683,1,1000
963,7725,3,600
3828,6693,3,700
2530,5435,5,700
8799,3164,7,700
3822,3434,2,800
883,4134,1,700
2672,7242,2,1100
1837,3417,1,800
8282,4889,1,700
6964,8847,1,1000
5048,5537,1,800
1874,1496,2,700
5727,3028,1,700
7155,5862,3,700
1587,1257,3,800
4041,9081,9,600
8055,1313,1,800
9169,5099,1,800
6277,9607,1,1100
6706,4255,1,900
5890,7287,1,900
5345,5085,5,600
2389,9738,1,600
3810,5310,30,800
3604,4950,2,700
8604,7457,1,800
6067,4769,1,1800
341,5089,1,700
1854,2815,1,700
4953,2290,1,700
6888,994,14,600
3391,8148,1,700
6668,9385,1,900
6194,7720,2,800
1478,3901,1,900
1003,6213,1,500
1868,5952,4,900
7679,5667,1,1000
6433,4930,1,900
5918,3291,1,900
1700,9915,5,700
5795,1619,1,1000
7385,990,5,700
7104,343,1,800
6882,1622,2,800
8794,5239,1,600
9096,2433,3,800
2292,4289,1,700
3794,6861,1,800
6544,4514,2,800
1838,1100,2,600
6624,5432,8,800
9716,3531,1,700
5348,715,1,700
8112,2248,8,700
9794,8615,1,800
8954,3154,2,700
2926,4253,1,700
859,540,1,700
2328,6908,4,800
1369,8264,1,700
3978,6520,2,900
8170,9305,5,600
7013,7823,1,800
8884,7477,1,900
5424,7921,1,1000
1329,5124,3,700
3141,1958,1,1000
7015,4348,1,1100
9371,5055,1,900
1149,7300,1,900
1977,8865,3,700
3380,1102,2,600
1137,1524,3,1000
2945,2772,1,600
8431,1533,1,800
43,1915,1,700
5036,3364,4,700
2410,8259,1,800
5069,9639,1,700
7688,280,8,600
3379,405,1,900
4212,9519,3,900
2630,9714,2,800
1218,9215,1,1000
7194,3593,1,700
7455,6133,1,900
3286,6916,2,900
5129,7275,1,900
7445,7376,1,800
5773,2391,1,1400
9861,8564,1,800
8308,3674,2,1100
2418,5947,1,800
9865,3420,5,800
2146,1492,2,700
8059,2284,1,700
1487,3324,1,700
9470,7584,2,600
6768,6793,1,700
4211,6136,1,700
1541,2592,1,800
4699,2418,1,900
3110,4959,1,700
8920,1944,8,700
9060,7104,12,700
5723,5948,1,900
8207,7349,1,1000
1144,9660,4,700
8627,1287,1,900
662,8213,1,800
2271,6140,1,700
1294,315,1,700
8546,9455,1,800
9485,2561,1,1100
5148,4950,198,900
9365,7996,1,1000
1482,216,6,600
6310,627,1,800
6879,2756,1,700
4928,5905,1,900
3950,1010,10,600
2220,3383,1,700
3565,2811,1,800
1477,9129,1,800
5860,1865,5,600
7054,7030,2,600
1587,5153,1,800
7501,7252,1,600
5570,9651,1,700
3321,7182,27,900
4958,8031,1,900
1906,4303,1,1000
5401,8320,1,900
61,155,1,800
2856,3021,3,800
1143,6075,9,700
3278,2444,2,700
8714,2887,1,700
479,4876,1,3400
5961,4888,1,700
6159,6300,3,700
5782,9601,1,700
3784,896,8,600
6987,384,3,700
4461,2078,1,800
5137,2722,1,1100
4186,9557,1,900
3424,3947,1,800
1064,9148,4,700
4036,6138,2,600
3594,8432,2,700
9467,6682,1,800
1306,2908,2,900
9367,7270,1,1200
2513,9859,1,600
1816,6861,1,700
2063,4018,1,800
72,9161,1,600
1034,2795,1,800
2901,3169,1,1000
2118,4772,2,900
7157,6814,1,700
113,4218,1,900
4373,307,1,700
9713,7931,11,800
3809,854,1,800
4947,4298,1,1200
7917,9779,7,700
7216,44,44,600
5538,1628,2,800
325,235,5,1000
6384,3129,21,600
4938,1647,3,500
1169,4843,167,500
6242,740,2,700
4094,2202,2,800
7242,5164,2,800
2997,7994,1,700
2480,2079,1,800
5226,7568,2,800
8046,7922,2,700
7687,9485,1,1000
2798,8631,1,900
5051,1052,1,800
5172,5391,3,900
1289,8438,1,800
1807,2954,1,800
9617,7532,1,1200
7944,5753,1,900
8350,1911,1,900
4870,72,2,600
331,4294,1,700
7901,1396,1,700
9070,5033,1,800
6094,6339,1,800
6380,2577,1,600
589,1114,1,700
9283,3116,1,600
9510,769,1,800
9140,1746,2,700
3892,3402,14,900
6797,5740,7,900
1178,6844,2,600
7121,6579,1,800
3084,2869,1,800
2856,4630,2,800
3061,7739,1,900
1998,4248,18,700
26,6369,1,800
8611,4085,1,700
3930,5239,1,600
5982,2980,2,600
993,9167,1,800
6627,4310,1,1000
4640,1660,20,600
1850,6364,74,600
2282,4944,2,600
7026,4726,2,1500
5769,5438,1,600
4179,1841,7,800
898,4002,2,800
7094,1488,2,700
762,492,6,800
4123,6295,1,900
540,2288,4,900
1593,5468,1,800
6339,3482,1,1100
486,9406,2,700
3571,4726,1,1100
9280,4622,2,700
7383,2128,1,800
8119,6678,1,800
4384,4999,1,800
1036,1878,2,700
7956,9994,2,700
9719,415,1,900
662,5986,2,700
1283,2765,1,600
2592,6021,27,600
850,2642,2,700
1259,285,1,700
2238,3574,2,700
6576,8283,3,900
2271,1647,3,800
3811,5768,103,900
1568,6546,2,800
2527,8344,7,600
377,289,1,600
2662,9753,1,800
6831,544,1,11100
3756,4568,4,700
8188,500,4,800
4282,6400,2,600
1545,5289,3,700
4209,1538,1,900
1776,62,2,700
7658,9099,1,800
3519,9103,1,1100
3101,4069,1,800
8692,5331,1,1000
7306,8494,2,800
3969,7235,1,800
8966,3604,2,700
2209,3653,1,800
6081,5162,1,900
836,6770,2,600
9356,3267,1,800
6614,7514,2,900
8379,7268,1,700
657,9594,9,1100
1955,4091,1,600
2004,6514,2,600
204,6749,17,500
3529,7584,1,600
544,7227,1,800
4244,3674,2,800
9650,3833,1,800
7619,4255,1,800
1934,2067,1,800
5566,7685,1,800
9872,6905,1,700
6321,393,3,1500
486,2362,2,700
2829,5876,1,700
2141,6647,1,900
4981,9393,1,800
2372,222,2,700
7221,1330,1,700
8419,7364,1,700
3111,1329,3,600
1297,2311,1,800
2077,5085,1,700
1671,1033,1,800
6240,7023,3,900
2104,5788,4,600
5468,4301,1,900
9958,6463,1,1100
8737,1064,1,900
9829,6059,1,1000
4484,7724,4,900
2410,8718,2,1000
7755,8115,15,700
1891,3337,1,700
3620,2246,2,800
1367,6573,1,900
8544,3022,2,1000
8873,9447,1,800
7848,1681,1,800
570,5267,1,600
5671,1457,1,900
6897,4411,11,800
2317,8937,331,600
7645,5250,5,700
3113,2105,1,700
1343,5868,1,1200
3331,8179,1,700
7884,4529,1,800
842,4287,1,700
255,8399,1,600
6916,6566,14,600
9454,5517,1,1000
8435,3843,7,800
8896,9469,1,700
7683,7549,1,700
3512,1151,1,700
7280,4885,5,700
1311,6443,1,800
8264,6109,1,800
8788,3985,1,800
