Number One,Number Two,Their GCD,Time Spent(nanoseconds)
8831,8805,1,7200
4326,7408,2,1100
1113,4829,1,900
5963,5547,1,700
6675,8493,3,900
3517,4607,1,800
1836,8951,1,800
7533,5170,1,900
7493,2067,1,700
4572,9261,9,700
7430,2612,2,900
1646,5506,2,800
558,3927,3,1000
6150,939,3,1800
522,5325,3,1400
6828,5463,3,700
8784,5013,9,800
9606,2518,2,1100
6562,4301,17,1000
190,2686,2,800
4615,9056,1,800
9578,2841,1,900
3082,9382,2,900
5120,8779,1,1100
7876,4569,1,1000
829,1818,1,800
7029,587,1,800
8409,3261,3,800
5587,4659,1,1000
9015,3377,1,1000
344,4991,1,1300
8019,8303,1,1500
4452,3038,14,1000
9164,9614,2,700
9058,8296,2,24400
2849,5588,11,1300
2771,1201,1,1100
7569,6521,1,900
7983,6617,1,900
7540,7967,1,1000
4622,7993,1,1500
8433,4417,1,1100
3156,1214,2,1800
8885,2811,1,1100
5324,3990,2,800
5166,2278,2,1000
2481,2829,3,1000
276,9466,2,900
5446,4544,2,900
8398,7267,13,1000
603,4177,1,1200
384,5734,2,1000
871,6032,13,900
8461,9954,1,900
3048,5016,24,1100
2400,3455,5,1000
4762,7811,1,1200
9075,2133,3,900
7821,9964,1,1000
7790,5683,1,900
963,7725,3,1000
3828,6693,3,1000
2530,5435,5,1000
8799,3164,7,900
3822,3434,2,1000
883,4134,1,1100
2672,7242,2,1200
1837,3417,1,1100
8282,4889,1,1000
6964,8847,1,900
5048,5537,1,1300
1874,1496,2,1100
5727,3028,1,1100
7155,5862,3,1100
1587,1257,3,1000
4041,9081,9,1100
8055,1313,1,1400
9169,5099,1,1000
6277,9607,1,1000
6706,4255,1,1000
5890,7287,1,1300
5345,5085,5,1000
2389,9738,1,1100
3810,5310,30,900
3604,4950,2,1300
8604,7457,1,1000
6067,4769,1,1300
341,5089,1,1100
1854,2815,1,1400
4953,2290,1,1200
6888,994,14,900
3391,8148,1,1100
6668,9385,1,1400
6194,7720,2,1000
1478,3901,1,1300
1003,6213,1,1000
1868,5952,4,900
7679,5667,1,1200
6433,4930,1,1300
5918,3291,1,1000
1700,9915,5,1600
5795,1619,1,1100
7385,990,5,1300
7104,343,1,1100
6882,1622,2,1300
8794,5239,1,1100
9096,2433,3,2100
2292,4289,1,1100
3794,6861,1,1000
6544,4514,2,1000
1838,1100,2,1200
6624,5432,8,1100
9716,3531,1,1000
5348,715,1,1000
8112,2248,8,1100
9794,8615,1,1100
8954,3154,2,1300
2926,4253,1,1100
859,540,1,900
2328,6908,4,1400
1369,8264,1,1200
3978,6520,2,1100
8170,9305,5,1000
7013,7823,1,1000
8884,7477,1,1200
5424,7921,1,1200
1329,5124,3,1000
3141,1958,1,900
7015,4348,1,1100
9371,5055,1,1100
1149,7300,1,8300
1977,8865,3,2000
3380,1102,2,2100
1137,1524,3,1600
2945,2772,1,1800
8431,1533,1,1700
43,1915,1,1900
5036,3364,4,1800
2410,8259,1,2000
5069,9639,1,2100
7688,280,8,1700
3379,405,1,2000
