Number One,Number Two,Their GCD,Time Spent(nanoseconds)
7804,3694,2,8891
8715,9332,1,16469
8804,7480,4,14280
7670,231,1,580
739,5921,1,1460
46,8554,2,200
5694,1280,2,2571
1133,1304,1,2211
4050,6761,1,7620
2894,1142,2,2200
5603,1981,1,3800
1231,3885,1,2480
8047,5062,1,9500
9585,6873,3,12940
7809,2776,1,5260
4163,1108,1,2140
7117,904,1,1769
1049,1948,1,2029
7753,7490,1,14011
9775,12,1,111
5107,9947,1,9689
3788,1643,1,3149
4410,8157,3,8309
3171,8635,1,6020
5656,906,2,1851
4122,1620,18,3180
6087,5122,1,9660
7803,392,1,851
6049,1437,1,2751
318,9930,6,720
4518,1724,2,3329
4823,9070,1,9091
5560,1391,1,2780
3828,2086,2,4161
7222,2440,2,4680
7399,8801,1,13900
3613,248,1,530
489,342,3,780
6953,7268,1,13199
5407,9091,1,10180
9422,7380,2,13949
1562,589,1,1209
3485,7861,1,6620
4226,4930,2,8060
9968,7463,1,21120
3631,3417,1,6440
4992,7106,2,9491
8955,4227,3,8000
1336,5703,1,2600
4380,2992,4,5820
4653,9418,1,8769
3391,6828,1,6431
6648,6698,2,12500
6464,1936,16,3709
8669,9696,1,16209
2231,3387,1,4180
7506,2812,2,5320
6958,8325,1,13000
8834,7096,2,13760
4105,7972,1,7851
9028,6998,2,13269
2793,86,1,269
1676,6511,1,3191
7349,3479,1,6589
2644,7420,4,5140
1968,4923,3,3769
2226,2630,2,4260
4569,3821,1,7200
9869,6204,1,11669
4027,7927,1,7589
1139,915,1,1800
8493,1578,3,3089
6901,1825,1,23211
1960,6574,2,3771
4999,4457,1,8380
9968,4538,2,8731
4487,7230,1,8549
6400,998,2,2100
6824,1604,4,3140
4866,2087,1,4089
1221,1218,3,2409
4350,799,1,1729
9761,2463,1,4700
6737,8909,1,12680
5680,5343,1,10231
11,3635,1,100
9065,6751,1,12720
4894,8896,2,9251
2067,6786,39,4089
9997,4825,1,9120
9442,4696,2,8729
2386,9798,2,4540
8302,4799,1,8951
1379,7780,1,2640
6888,8260,28,13311
7237,3455,1,6591
6375,6796,1,11980
3395,6029,1,6360
4696,8928,8,9051
4784,7750,2,9049
2777,4640,1,5340
396,7871,1,830
7135,7968,1,13621
4833,2125,1,4109
5347,409,1,840
5018,2229,1,4291
9645,6394,1,12051
6556,2372,4,4631
7948,1848,4,3560
709,2090,1,1489
551,7371,1,1211
5983,3826,1,7351
4341,9491,1,8140
4236,937,1,1851
9171,7780,1,14709
6568,2651,1,5060
8624,7752,8,14820
6834,5351,1,10240
3630,4308,6,6920
1310,6777,1,2580
6105,8091,3,11520
507,8945,1,1040
7252,4940,4,9360
6726,7200,6,12949
7656,9040,8,14360
5895,8848,1,11351
9864,1354,2,2809
3110,1183,1,2331
9233,5478,1,10260
8439,8625,3,15840
8726,5871,1,10969
1744,8231,1,3320
8979,938,1,1880
1620,7595,5,3171
1899,2884,1,17771
6804,5450,2,10789
8722,3663,1,7160
9367,4053,1,7860
1089,6546,3,2109
6832,8693,1,12951
4269,3674,1,6909
7039,5239,1,9780
2504,2699,1,4700
3606,6108,6,6840
1960,1391,1,2820
9386,37,1,200
8751,8372,1,15640
7238,6050,22,11489
2670,3883,1,5000
6560,3897,1,7369
9390,8845,5,16460
4401,42,3,140
4972,9610,2,9300
395,6051,1,780
9019,8175,1,15149
8439,5465,1,10191
4981,6127,1,9260
5483,1747,1,3269
6381,7928,1,11871
9480,9585,15,18219
6042,4983,3,9480
5241,3001,1,5600
3063,863,1,1650
4794,5472,6,9130
326,5666,2,660
9661,9366,1,17330
8641,4898,1,9090
4139,7760,1,7790
902,5549,1,1730
4045,3887,1,7250
4691,6954,1,12751
9592,4721,1,8871
7676,1974,2,3769
8566,3326,2,6191
5586,9231,3,10409
9431,5,1,80
2106,2335,1,3951
1526,6749,1,2891
3894,5523,3,7280
214,3995,1,460
772,8456,4,1551
3698,8137,1,6880
7266,5620,2,10520
6693,8030,1,22989
7452,2672,4,5180
4114,4598,242,7731
9019,8672,1,16080
6754,4086,2,7640
2434,1360,2,2569
4314,8646,6,8100
217,7640,1,500
1678,1454,2,2749
8894,8626,2,16560
5144,2603,1,4980
7363,8938,1,13829
4622,2475,1,4691
3162,5649,3,6069
3040,4742,2,5711
6345,8480,5,12029
7249,3756,1,7120
5710,5737,1,10769
7005,2207,1,4160
1203,2345,1,2309
5645,5364,1,9971
5295,7525,5,10429
4527,5005,1,8620
4885,7516,1,9360
9417,7643,1,14520
5192,4459,1,8711
2488,7712,8,4820
8556,3451,1,6780
6442,8775,1,12240
1225,8964,1,2489
434,9825,1,929
8532,146,2,449
4259,4229,1,7980
2607,1173,3,2291
7154,9828,14,13840
2848,6908,4,5440
9171,8969,1,16860
3619,1659,7,3260
6990,4345,5,8289
5340,3628,4,6970
4683,883,1,1750
7125,4,1,90
1798,6505,1,3470
6538,2346,2,4610
7100,907,1,1880
7465,3159,1,6010
8334,6000,6,11610
8726,6008,2,11340
2734,1040,2,2010
6192,7176,24,11830
246,9383,1,550
1539,586,1,1240
7646,4148,2,7850
1010,9579,1,2010
7176,3347,1,6450
5076,2245,1,4310
6686,5508,2,10230
5255,9652,1,9820
1239,5277,3,2340
1010,4624,2,2000
4606,9781,1,9050
4548,1080,12,2130
8299,7120,1,13380
7737,1433,1,2770
542,5878,2,1100
3848,69,1,250
1932,1196,92,2500
3798,6135,3,7281
87,8810,1,280
7326,6023,1,11420
8521,962,1,1860
8966,4736,2,9020
3997,8244,1,7660
7366,7683,1,13880
3425,1144,1,2220
3934,2233,7,4280
772,4200,4,1860
2252,8587,1,4380
9257,6856,1,12991
9239,9450,1,17860
8832,450,6,1111
213,671,1,509
132,1931,1,320
7942,7800,2,14880
8770,5453,1,23820
5473,4636,1,8840
6988,9237,1,13200
6603,438,3,920
3447,8459,1,6529
5195,3400,5,6420
7126,4618,2,8869
3676,2817,1,5480
8375,2975,25,5789
5990,5114,2,26551
7146,2295,9,4389
1382,2414,2,2700
5092,6455,1,9569
9720,3393,9,6649
4796,5712,4,9191
7571,5456,1,10149
3686,1840,2,3471
2129,5081,1,3989
8092,8791,1,15389
1516,8741,1,2920
5783,6102,1,11111
4674,2607,3,5031
2197,6695,13,4211
2808,3045,3,5490
4560,9572,4,8610
9825,6543,3,12360
3414,5098,2,6410
8596,5354,2,10070
2192,9536,16,4240
2019,3240,3,4010
8216,9929,1,15300
2179,3384,1,4270
2692,8488,4,5480
5184,2299,1,4610
2867,7837,1,5410
3469,6960,1,6890
333,2939,1,690
270,7409,1,590
8953,9428,1,16770
2590,3701,1,4870
7437,1290,3,8020
9255,7470,15,13970
927,1311,3,1860
7244,2366,2,4480
4042,3717,1,7050
1514,2999,1,2910
8998,3516,2,6700
8530,1923,1,3630
3921,2169,3,4070
8957,7607,1,14110
9712,3006,2,5630
5555,6236,1,10330
5193,4947,3,9210
6381,527,1,1040
1060,9942,2,2030
942,1131,3,1820
8772,2666,86,5109
3385,7707,1,6340
4658,9485,1,8700
9666,4100,2,7691
9555,8077,1,15120
4992,1309,1,2649
1150,8779,1,2171
6150,6672,6,11520
2812,3289,1,5291
8043,3578,1,6680
9130,2425,5,4920
9288,4450,2,8571
167,6229,1,391
7865,9431,1,14769
8463,2434,1,4709
8901,5500,1,10549
6332,2568,4,4849
2629,9457,1,5071
5489,7067,1,10200
3653,1545,1,2920
7875,7382,1,13840
7150,758,2,1591
5699,3438,1,6880
7151,8638,1,13580
3300,719,1,1631
2469,1377,3,2669
3935,7892,1,7380
934,7124,2,1911
9563,8602,1,35220
8960,5211,1,10009
4639,1445,1,2760
6680,5241,1,9940
5419,9749,1,10180
81,3697,1,230
5444,854,2,1690
6743,6552,1,12350
8614,6685,1,12420
2126,3513,1,4000
8059,3292,1,6430
377,5674,1,770
742,9134,2,1500
5173,5489,1,9820
4881,9809,1,9440
2930,6971,1,5590
8263,5445,1,10160
9455,7390,5,13870
7349,5762,1,10800
2021,2663,1,3780
1390,7867,1,2610
556,5508,4,1230
7691,8786,1,14280
6247,9956,1,11660
7160,2814,2,5660
6034,2629,1,5050
8136,2345,1,4600
2430,1870,10,3730
1687,8626,1,20450
5493,4738,1,9000
2831,3243,1,5380
2753,2777,1,5160
2980,8096,4,5770
5093,5642,1,9640
1128,5825,1,2200
947,283,1,610
2280,2947,1,4310
6941,3904,1,7330
4514,1875,1,3590
7136,2664,8,5150
6396,8937,3,11900
3318,4088,14,6280
2990,2834,26,5380
8476,4739,1,8861
3206,5664,2,6109
8722,7889,49,14691
5215,3684,1,6900
8859,3257,1,6091
1666,2765,7,3160
1416,1462,2,2700
7425,9179,1,13769
7336,2039,1,3889
935,8885,5,1789
3159,2495,1,4729
7976,3628,4,6771
8390,6923,1,12871
8161,4187,1,7780
8194,7245,1,13469
3868,1913,1,3600
9471,7358,1,13740
1893,6253,1,3569
3086,1013,1,1920
9239,9837,1,17540
