Number One,Number Two,Their GCD,Time Spent(nanoseconds)
7804,3694,2,6380
8715,9332,1,189
8804,7480,4,209
7670,231,1,140
739,5921,1,100
46,8554,2,100
5694,1280,2,189
1133,1304,1,151
4050,6761,1,240
2894,1142,2,189
5603,1981,1,229
1231,3885,1,160
8047,5062,1,180
9585,6873,3,180
7809,2776,1,211
4163,1108,1,211
7117,904,1,200
1049,1948,1,180
7753,7490,1,200
9775,12,1,140
5107,9947,1,229
3788,1643,1,211
4410,8157,3,211
3171,8635,1,269
5656,906,2,191
4122,1620,18,160
6087,5122,1,129
7803,392,1,189
6049,1437,1,200
318,9930,6,191
4518,1724,2,220
4823,9070,1,249
5560,1391,1,180
3828,2086,2,209
7222,2440,2,200
7399,8801,1,220
3613,248,1,160
489,342,3,171
6953,7268,1,200
5407,9091,1,220
9422,7380,2,160
1562,589,1,171
3485,7861,1,160
4226,4930,2,120
9968,7463,1,211
3631,3417,1,189
4992,7106,2,189
8955,4227,3,189
1336,5703,1,229
4380,2992,4,149
4653,9418,1,131
3391,6828,1,140
6648,6698,2,120
6464,1936,16,169
8669,9696,1,229
2231,3387,1,211
7506,2812,2,200
6958,8325,1,211
8834,7096,2,191
4105,7972,1,191
9028,6998,2,211
2793,86,1,160
1676,6511,1,200
7349,3479,1,180
2644,7420,4,191
1968,4923,3,200
2226,2630,2,140
4569,3821,1,220
9869,6204,1,131
4027,7927,1,140
1139,915,1,151
8493,1578,3,180
6901,1825,1,220
1960,6574,2,229
4999,4457,1,169
9968,4538,2,189
4487,7230,1,211
6400,998,2,231
6824,1604,4,200
4866,2087,1,180
1221,1218,3,149
4350,799,1,189
9761,2463,1,160
6737,8909,1,180
5680,5343,1,169
11,3635,1,120
9065,6751,1,171
4894,8896,2,149
2067,6786,39,151
9997,4825,1,200
9442,4696,2,160
2386,9798,2,180
8302,4799,1,220
1379,7780,1,171
6888,8260,28,140
7237,3455,1,171
6375,6796,1,140
3395,6029,1,180
4696,8928,8,140
4784,7750,2,160
2777,4640,1,140
396,7871,1,140
7135,7968,1,171
4833,2125,1,189
5347,409,1,211
5018,2229,1,131
9645,6394,1,149
6556,2372,4,149
7948,1848,4,109
709,2090,1,140
551,7371,1,169
5983,3826,1,200
4341,9491,1,149
4236,937,1,160
9171,7780,1,171
6568,2651,1,140
8624,7752,8,129
6834,5351,1,209
3630,4308,6,149
1310,6777,1,140
6105,8091,3,140
507,8945,1,129
7252,4940,4,129
6726,7200,6,109
7656,9040,8,160
5895,8848,1,120
9864,1354,2,150
3110,1183,1,200
9233,5478,1,190
8439,8625,3,160
8726,5871,1,170
1744,8231,1,190
8979,938,1,200
1620,7595,5,160
1899,2884,1,160
6804,5450,2,170
8722,3663,1,200
9367,4053,1,170
1089,6546,3,140
6832,8693,1,160
4269,3674,1,190
7039,5239,1,190
2504,2699,1,170
3606,6108,6,190
1960,1391,1,140
9386,37,1,160
8751,8372,1,150
7238,6050,22,180
2670,3883,1,170
6560,3897,1,150
9390,8845,5,140
4401,42,3,140
4972,9610,2,180
395,6051,1,160
9019,8175,1,220
8439,5465,1,180
4981,6127,1,200
5483,1747,1,160
