Number One,Number Two,Their GCD,Time Spent(nanoseconds)
7804,3694,2,590
8715,9332,1,310
8804,7480,4,180
7670,231,1,160
739,5921,1,190
46,8554,2,130
5694,1280,2,210
1133,1304,1,160
4050,6761,1,410
2894,1142,2,160
5603,1981,1,290
1231,3885,1,170
8047,5062,1,330
9585,6873,3,180
7809,2776,1,400
4163,1108,1,170
7117,904,1,170
1049,1948,1,150
7753,7490,1,170
9775,12,1,110
5107,9947,1,150
3788,1643,1,150
4410,8157,3,160
3171,8635,1,750
5656,906,2,170
4122,1620,18,140
6087,5122,1,160
7803,392,1,150
6049,1437,1,150
318,9930,6,130
4518,1724,2,120
4823,9070,1,180
5560,1391,1,130
3828,2086,2,150
7222,2440,2,140
7399,8801,1,140
3613,248,1,170
489,342,3,110
6953,7268,1,160
5407,9091,1,190
9422,7380,2,170
1562,589,1,150
3485,7861,1,170
4226,4930,2,100
9968,7463,1,130
3631,3417,1,140
4992,7106,2,140
8955,4227,3,170
1336,5703,1,150
4380,2992,4,140
4653,9418,1,140
3391,6828,1,140
6648,6698,2,110
6464,1936,16,140
8669,9696,1,170
2231,3387,1,150
7506,2812,2,130
6958,8325,1,160
8834,7096,2,150
4105,7972,1,160
9028,6998,2,190
2793,86,1,150
1676,6511,1,160
7349,3479,1,170
2644,7420,4,150
1968,4923,3,120
2226,2630,2,150
4569,3821,1,150
9869,6204,1,140
4027,7927,1,150
1139,915,1,140
8493,1578,3,160
6901,1825,1,170
1960,6574,2,170
4999,4457,1,160
9968,4538,2,170
4487,7230,1,140
6400,998,2,160
6824,1604,4,140
4866,2087,1,140
1221,1218,3,110
4350,799,1,130
9761,2463,1,140
6737,8909,1,190
5680,5343,1,150
11,3635,1,110
9065,6751,1,160
4894,8896,2,150
2067,6786,39,130
9997,4825,1,140
9442,4696,2,130
2386,9798,2,150
8302,4799,1,160
1379,7780,1,180
6888,8260,28,130
7237,3455,1,170
6375,6796,1,120
3395,6029,1,130
4696,8928,8,150
4784,7750,2,150
2777,4640,1,120
396,7871,1,160
7135,7968,1,150
4833,2125,1,180
5347,409,1,160
5018,2229,1,130
9645,6394,1,160
6556,2372,4,140
7948,1848,4,150
709,2090,1,110
551,7371,1,130
5983,3826,1,160
4341,9491,1,160
4236,937,1,150
9171,7780,1,170
6568,2651,1,140
8624,7752,8,150
6834,5351,1,170
3630,4308,6,140
1310,6777,1,190
6105,8091,3,120
507,8945,1,160
7252,4940,4,140
6726,7200,6,110
7656,9040,8,150
5895,8848,1,130
9864,1354,2,160
3110,1183,1,150
9233,5478,1,150
8439,8625,3,140
8726,5871,1,150
1744,8231,1,160
8979,938,1,170
1620,7595,5,160
1899,2884,1,140
6804,5450,2,130
8722,3663,1,170
9367,4053,1,150
1089,6546,3,120
6832,8693,1,140
4269,3674,1,140
7039,5239,1,170
2504,2699,1,160
3606,6108,6,130
1960,1391,1,140
9386,37,1,130
8751,8372,1,180
7238,6050,22,130
2670,3883,1,180
6560,3897,1,140
9390,8845,5,140
4401,42,3,140
4972,9610,2,150
395,6051,1,150
9019,8175,1,160
8439,5465,1,180
4981,6127,1,160
5483,1747,1,160
6381,7928,1,120
9480,9585,15,120
6042,4983,3,160
5241,3001,1,160
3063,863,1,160
4794,5472,6,150
326,5666,2,130
9661,9366,1,120
8641,4898,1,200
4139,7760,1,130
902,5549,1,170
4045,3887,1,120
4691,6954,1,120
9592,4721,1,160
7676,1974,2,150
8566,3326,2,170
5586,9231,3,160
9431,5,1,110
2106,2335,1,130
1526,6749,1,150
3894,5523,3,150
214,3995,1,130
772,8456,4,150
3698,8137,1,120
7266,5620,2,150
6693,8030,1,110
7452,2672,4,170
4114,4598,242,130
9019,8672,1,150
6754,4086,2,150
2434,1360,2,150
4314,8646,6,120
217,7640,1,150
1678,1454,2,140
8894,8626,2,130
5144,2603,1,130
7363,8938,1,170
4622,2475,1,150
3162,5649,3,130
3040,4742,2,140
6345,8480,5,130
7249,3756,1,160
5710,5737,1,130
7005,2207,1,170
1203,2345,1,140
5645,5364,1,130
5295,7525,5,120
4527,5005,1,130
4885,7516,1,140
9417,7643,1,170
5192,4459,1,110
2488,7712,8,120
8556,3451,1,170
6442,8775,1,170
1225,8964,1,150
434,9825,1,160
8532,146,2,140
4259,4229,1,130
2607,1173,3,130
7154,9828,14,150
2848,6908,4,130
9171,8969,1,120
3619,1659,7,130
6990,4345,5,140
5340,3628,4,150
4683,883,1,150
7125,4,1,120
1798,6505,1,160
6538,2346,2,130
7100,907,1,190
7465,3159,1,170
8334,6000,6,160
8726,6008,2,150
2734,1040,2,150
6192,7176,24,150
246,9383,1,130
1539,586,1,130
7646,4148,2,160
1010,9579,1,150
7176,3347,1,160
5076,2245,1,160
6686,5508,2,120
5255,9652,1,130
1239,5277,3,140
1010,4624,2,150
4606,9781,1,160
4548,1080,12,150
8299,7120,1,160
7737,1433,1,140
542,5878,2,150
3848,69,1,140
1932,1196,92,110
3798,6135,3,130
87,8810,1,250
7326,6023,1,130
8521,962,1,120
8966,4736,2,140
3997,8244,1,110
7366,7683,1,120
3425,1144,1,100
3934,2233,7,80
772,4200,4,110
2252,8587,1,120
9257,6856,1,140
9239,9450,1,130
8832,450,6,110
213,671,1,130
132,1931,1,120
7942,7800,2,110
8770,5453,1,170
5473,4636,1,130
6988,9237,1,120
6603,438,3,130
3447,8459,1,130
5195,3400,5,100
7126,4618,2,120
3676,2817,1,120
8375,2975,25,110
5990,5114,2,140
7146,2295,9,140
1382,2414,2,100
5092,6455,1,120
9720,3393,9,120
4796,5712,4,120
7571,5456,1,130
3686,1840,2,90
2129,5081,1,130
8092,8791,1,110
1516,8741,1,130
5783,6102,1,110
4674,2607,3,120
2197,6695,13,80
2808,3045,3,120
4560,9572,4,140
9825,6543,3,100
3414,5098,2,100
8596,5354,2,120
2192,9536,16,140
2019,3240,3,120
8216,9929,1,130
2179,3384,1,140
2692,8488,4,120
5184,2299,1,110
2867,7837,1,120
3469,6960,1,100
333,2939,1,130
270,7409,1,130
8953,9428,1,130
2590,3701,1,110
7437,1290,3,100
9255,7470,15,130
927,1311,3,90
7244,2366,2,110
4042,3717,1,140
1514,2999,1,120
8998,3516,2,130
8530,1923,1,120
3921,2169,3,100
8957,7607,1,130
9712,3006,2,120
5555,6236,1,110
5193,4947,3,90
6381,527,1,110
1060,9942,2,110
942,1131,3,90
8772,2666,86,100
3385,7707,1,130
4658,9485,1,120
9666,4100,2,120
9555,8077,1,140
4992,1309,1,150
1150,8779,1,150
6150,6672,6,100
2812,3289,1,120
8043,3578,1,140
9130,2425,5,120
9288,4450,2,130
167,6229,1,110
7865,9431,1,120
8463,2434,1,130
8901,5500,1,140
6332,2568,4,120
2629,9457,1,140
5489,7067,1,130
3653,1545,1,100
7875,7382,1,110
7150,758,2,130
5699,3438,1,140
7151,8638,1,180
3300,719,1,120
2469,1377,3,100
3935,7892,1,100
934,7124,2,120
9563,8602,1,120
8960,5211,1,150
4639,1445,1,140
6680,5241,1,120
5419,9749,1,100
81,3697,1,120
5444,854,2,110
6743,6552,1,130
8614,6685,1,130
2126,3513,1,120
8059,3292,1,140
377,5674,1,110
742,9134,2,140
5173,5489,1,120
4881,9809,1,110
2930,6971,1,120
8263,5445,1,130
9455,7390,5,120
7349,5762,1,120
2021,2663,1,110
1390,7867,1,150
556,5508,4,130
7691,8786,1,110
6247,9956,1,120
7160,2814,2,150
6034,2629,1,140
8136,2345,1,110
2430,1870,10,110
1687,8626,1,140
5493,4738,1,130
2831,3243,1,120
2753,2777,1,100
2980,8096,4,120
5093,5642,1,110
1128,5825,1,150
947,283,1,110
2280,2947,1,120
6941,3904,1,120
4514,1875,1,120
7136,2664,8,110
6396,8937,3,120
3318,4088,14,120
2990,2834,26,100
8476,4739,1,130
3206,5664,2,110
8722,7889,49,90
5215,3684,1,100
8859,3257,1,90
1666,2765,7,110
1416,1462,2,80
7425,9179,1,140
7336,2039,1,130
935,8885,5,100
3159,2495,1,120
7976,3628,4,120
8390,6923,1,140
8161,4187,1,120
8194,7245,1,120
3868,1913,1,110
9471,7358,1,130
1893,6253,1,120
3086,1013,1,110
9239,9837,1,130
4491,4731,3,90
9894,6381,3,140
8714,8065,1,110
4129,6977,1,130
9940,8690,10,100
9993,7404,3,130
3818,7713,1,130
5020,8744,4,120
8875,7000,125,100
4463,2175,1,110
6461,559,13,130
1128,4728,24,110
4472,6292,52,110
7979,2130,1,130
4299,4237,1,110
3301,4540,1,120
9361,3140,1,130
1922,6562,2,120
9453,7181,1,150
9522,6271,1,120
6654,767,1,140
7,5121,1,90
4720,8753,1,150
8162,7946,2,110
1309,622,1,120
9270,7423,1,130
1087,2765,1,110
9503,5905,1,140
8148,2631,3,130
7570,5804,2,120
6938,8584,2,150
992,5902,2,120
4968,21,3,80
1867,9957,1,110
3895,4257,1,130
4607,9569,1,110
3536,6351,1,130
3056,9018,2,120
8638,7358,2,110
3575,8885,5,120
7345,5652,1,110
5807,4701,1,100
3100,1618,2,120
586,5059,1,120
6479,2639,1,140
1173,5417,1,140
6600,8761,1,120
6064,1284,4,130
9097,2885,1,130
7232,2381,1,100
2902,82,2,120
5361,454,1,150
2565,447,3,120
4599,3294,9,130
2732,6809,1,100
7392,2882,22,120
5906,4418,2,100
2371,299,1,120
506,7602,2,100
1770,206,2,130
833,9170,7,80
3915,1387,1,140
6093,1630,1,110
7271,2951,1,120
1072,4337,1,130
7462,7488,26,90
6466,3661,1,130
7029,758,1,110
4646,3765,1,120
7685,3781,1,130
1529,1309,11,90
9641,34,1,90
7580,6740,20,90
5447,2953,1,150
5081,9727,1,140
5327,9557,1,120
8589,5417,1,120
8838,6628,2,100
3988,2858,2,110
4756,6872,4,120
7159,7361,1,120
8093,9399,1,120
4422,3877,1,130
6021,7976,1,140
782,9609,1,140
1458,2122,2,110
8104,6076,4,100
2709,1689,3,100
7434,1522,2,150
5957,3866,1,150
5498,2120,2,140
8694,4403,7,120
193,4225,1,110
6116,4482,2,120
7137,7870,1,170
2937,5019,3,120
7638,7810,2,120
165,8186,1,110
9128,4250,2,130
1608,1461,3,100
9344,3706,2,140
7936,7056,16,360
4729,813,1,180
289,5816,1,110
9131,7356,1,160
8497,3014,1,170
97,1943,1,140
7710,4057,1,140
4576,9127,1,120
1499,350,1,170
7742,800,2,160
1499,375,1,110
6330,2598,6,150
4449,3367,1,150
9548,4712,124,120
4858,3601,1,150
6781,1158,1,180
186,4631,1,130
6102,5175,9,130
48,4954,2,120
3938,8101,1,120
1117,205,1,160
2805,1087,1,150
3044,2572,4,130
7573,9052,1,170
7571,2358,1,160
9726,7486,2,170
7572,9104,4,140
6544,6916,4,130
2208,4934,2,170
1918,3124,2,130
948,5985,3,170
3799,2146,29,130
4207,2270,1,180
7089,3426,3,140
349,4553,1,130
3025,9858,1,170
4455,3796,1,180
2141,106,1,120
7277,119,1,140
4711,9990,1,170
5980,3641,1,160
8708,7943,1,160
1649,5188,1,140
2676,5952,12,140
3909,742,1,170
2159,5309,1,130
654,1266,6,130
6373,3697,1,150
3926,2433,1,120
7720,2142,2,160
114,8727,3,140
8311,7106,1,160
731,8182,1,160
3736,6268,4,160
9601,2829,1,180
9971,6473,1,160
9947,9245,1,170
761,3252,1,140
8889,9083,1,130
9668,4623,1,170
2100,6572,4,130
1212,3018,6,130
2028,4532,4,140
8051,531,1,150
4662,5534,2,160
4846,8708,2,160
179,8238,1,110
8808,2555,1,150
